Date,Day,Open for Day,High for Day,Low  for Day,Close for Day, %Chg for Day,Volume (thous) for Day
2004-12-31,Fr,       1384.61,       1386.81,       1372.80,       1375.37,-667,            na
2004-12-30,Th,       1391.76,       1408.10,       1381.18,       1384.61,-354,            na
2004-12-29,We,       1365.70,       1389.53,       1363.08,       1389.53,1668,            na
2004-12-28,Tu,       1376.25,       1380.69,       1363.41,       1366.73,-692,            na
2004-12-27,Mo,       1366.90,       1385.68,       1366.86,       1376.25,700,            na
2004-12-24,Fr,       1356.60,       1374.65,       1356.60,       1366.69,744,            na
2004-12-23,Th,       1322.99,       1358.97,       1322.99,       1356.60,2589,            na
2004-12-22,We,       1325.29,       1330.29,       1312.51,       1322.37,-220,            na
2004-12-21,Tu,       1307.33,       1331.10,       1307.33,       1325.29,1487,            na
2004-12-20,Mo,       1256.35,       1307.28,       1256.35,       1305.87,3984,            na
2004-12-17,Fr,       1247.37,       1259.00,       1244.66,       1255.84,735,            na
2004-12-16,Th,       1253.82,       1259.62,       1246.17,       1246.68,-542,            na
2004-12-15,We,       1238.74,       1253.54,       1237.72,       1253.47,1291,            na
2004-12-14,Tu,       1233.95,       1243.34,       1230.49,       1237.49,338,            na
2004-12-13,Mo,       1234.78,       1243.74,       1225.87,       1233.32,-79,            na
2004-12-10,Fr,       1222.12,       1239.24,       1222.12,       1234.30,1255,            na
2004-12-09,Th,       1204.62,       1219.15,       1189.89,       1219.00,1194,            na
2004-12-08,We,            na,            na,            na,            na,            na,            na
2004-12-07,Tu,       1226.65,       1229.35,       1202.47,       1204.62,-1546,            na
2004-12-06,Mo,       1220.28,       1225.68,       1210.41,       1223.54,393,            na
2004-12-03,Fr,       1193.59,       1220.61,       1192.06,       1218.75,2108,            na
2004-12-02,Th,       1222.48,       1236.06,       1186.39,       1193.59,-2241,            na
2004-12-01,We,       1213.09,       1234.01,       1211.63,       1220.95,648,            na
2004-11-30,Tu,       1168.09,       1213.47,       1167.16,       1213.09,3908,            na
2004-11-29,Mo,       1183.16,       1186.67,       1156.66,       1167.46,-1327,            na
2004-11-26,Fr,       1187.32,       1197.62,       1182.28,       1183.16,-350,            na
2004-11-25,Th,       1177.58,       1195.36,       1177.58,       1187.32,436,            na
2004-11-24,We,       1202.61,       1202.67,       1173.94,       1182.17,-1825,            na
2004-11-23,Tu,       1193.37,       1211.58,       1175.34,       1204.14,902,            na
2004-11-22,Mo,       1253.36,       1253.36,       1183.76,       1193.37,-4869,            na
2004-11-19,Fr,       1268.90,       1276.00,       1242.95,       1254.45,-726,            na
2004-11-18,Th,       1258.32,       1267.26,       1243.74,       1263.63,118,            na
2004-11-17,We,       1261.10,       1278.52,       1261.10,       1262.14,349,            na
2004-11-16,Tu,       1247.81,       1270.33,       1246.78,       1257.75,797,            na
